0.030383s
0.034069s
0.043200s
0.049288s
0.034243s
0.056236s
0.040625s
0.042016s
0.034126s
0.036672s
0.046258s
0.032416s
0.041496s
0.066221s
0.046865s
0.033547s
0.043498s
0.057307s
0.050946s
0.029069s
0.043358s
0.055252s
0.048653s
0.026733s
0.053155s
0.049008s
0.060177s
0.028929s
0.034143s
0.038681s
0.040235s
0.029010s
0.060533s
0.039393s
0.036108s
0.028822s
0.045726s
0.067737s
0.041849s
0.054268s
