20.730000s
0.660000s
1.780000s
1.030000s
1.980000s
1.420000s
0.600000s
0.310000s
0.960000s
0.400000s
1.060000s
2.120000s
1.500000s
0.690000s
0.350000s
1.030000s
0.470000s
0.880000s
1.770000s
1.210000s
0.570000s
0.300000s
0.850000s
0.290000s
0.850000s
1.600000s
1.040000s
0.510000s
0.290000s
0.850000s
0.300000s
0.970000s
1.760000s
1.190000s
0.650000s
0.320000s
0.930000s
0.380000s
1.080000s
1.810000s
1.250000s
0.670000s
0.410000s
1.070000s
0.500000s
1.620000s
1.040000s
2.020000s
1.440000s
0.700000s
0.420000s
1.000000s
0.430000s
0.880000s
1.740000s
1.150000s
0.530000s
0.290000s
0.910000s
0.350000s
0.850000s
1.620000s
1.070000s
0.540000s
0.290000s
0.840000s
0.290000s
0.900000s
1.690000s
1.120000s
0.580000s
0.320000s
0.840000s
0.290000s
0.830000s
1.530000s
0.970000s
0.500000s
0.280000s
0.820000s
0.270000s
0.910000s
1.670000s
1.110000s
0.600000s
0.300000s
0.860000s
0.300000s
0.790000s
1.570000s
0.980000s
0.510000s
0.300000s
0.820000s
0.280000s
1.010000s
1.820000s
1.270000s
0.600000s
0.310000s
0.970000s
0.430000s
0.970000s
1.700000s
1.130000s
0.670000s
0.370000s
0.940000s
0.380000s
1.020000s
1.840000s
1.270000s
0.680000s
0.340000s
1.090000s
0.540000s
1.420000s
0.880000s
1.680000s
1.110000s
0.550000s
0.290000s
0.890000s
0.320000s
0.830000s
1.640000s
1.060000s
0.520000s
0.280000s
0.840000s
0.280000s
0.900000s
1.610000s
1.060000s
0.580000s
0.310000s
