21.790000s
1.720000s
1.180000s
0.430000s
1.330000s
1.060000s
0.960000s
0.380000s
2.060000s
1.500000s
0.370000s
1.430000s
1.100000s
0.660000s
0.410000s
1.900000s
1.340000s
0.310000s
1.130000s
0.870000s
0.610000s
0.330000s
1.720000s
1.160000s
0.340000s
1.090000s
0.870000s
0.640000s
0.310000s
1.710000s
1.160000s
0.320000s
1.130000s
0.860000s
0.530000s
0.300000s
1.830000s
1.280000s
0.410000s
1.160000s
0.900000s
0.870000s
0.320000s
2.040000s
1.470000s
0.920000s
0.340000s
1.210000s
0.970000s
0.650000s
0.350000s
1.880000s
1.310000s
0.350000s
1.160000s
0.880000s
0.590000s
0.280000s
1.720000s
1.160000s
0.310000s
1.080000s
0.810000s
0.550000s
0.260000s
1.650000s
1.100000s
0.320000s
1.080000s
0.810000s
0.540000s
0.260000s
1.650000s
1.100000s
0.330000s
1.020000s
0.810000s
0.560000s
0.240000s
1.650000s
1.100000s
0.310000s
1.090000s
0.830000s
0.610000s
0.360000s
1.690000s
1.130000s
0.280000s
1.050000s
0.830000s
0.520000s
0.190000s
1.730000s
1.190000s
0.410000s
1.190000s
0.910000s
0.920000s
0.360000s
1.730000s
1.190000s
0.300000s
0.990000s
0.760000s
0.800000s
1.770000s
1.210000s
0.340000s
1.730000s
1.090000s
0.830000s
0.890000s
0.340000s
1.950000s
1.400000s
0.870000s
0.330000s
1.140000s
0.860000s
0.790000s
0.240000s
1.740000s
1.170000s
0.310000s
1.130000s
0.850000s
0.580000s
0.280000s
1.620000s
1.060000s
0.320000s
1.020000s
0.780000s
0.770000s
