2.470000s
1.520000s
0.900000s
0.630000s
3.040000s
2.480000s
1.660000s
1.370000s
2.330000s
1.750000s
1.060000s
0.730000s
0.290000s
2.940000s
2.320000s
1.510000s
1.170000s
1.580000s
0.820000s
0.560000s
0.300000s
2.520000s
1.960000s
1.320000s
1.050000s
1.380000s
0.750000s
0.530000s
0.300000s
2.410000s
1.850000s
1.320000s
1.100000s
1.410000s
0.810000s
0.540000s
0.210000s
2.510000s
1.940000s
1.400000s
1.070000s
1.370000s
0.750000s
0.490000s
2.680000s
2.120000s
1.540000s
1.280000s
2.150000s
1.600000s
0.870000s
0.630000s
0.310000s
2.830000s
2.250000s
1.510000s
1.230000s
1.580000s
0.810000s
0.530000s
0.240000s
2.510000s
1.920000s
1.300000s
1.060000s
1.340000s
0.770000s
0.500000s
0.240000s
2.380000s
1.830000s
1.300000s
1.050000s
1.310000s
0.760000s
0.490000s
0.220000s
2.380000s
1.810000s
1.270000s
1.010000s
1.270000s
0.690000s
0.480000s
0.230000s
2.310000s
1.750000s
1.280000s
1.060000s
1.300000s
0.780000s
0.520000s
0.300000s
2.440000s
1.880000s
1.370000s
1.070000s
1.430000s
0.770000s
0.550000s
0.240000s
2.350000s
1.760000s
1.290000s
1.080000s
1.270000s
0.780000s
0.500000s
2.510000s
1.960000s
1.290000s
1.000000s
1.920000s
1.360000s
0.690000s
0.460000s
2.450000s
1.880000s
1.420000s
1.120000s
1.920000s
1.390000s
0.750000s
0.490000s
2.650000s
2.080000s
1.490000s
1.150000s
2.040000s
1.490000s
0.810000s
0.530000s
2.500000s
1.930000s
1.370000s
1.110000s
1.900000s
1.350000s
0.820000s
0.540000s
0.270000s
2.340000s
1.760000s
1.220000s
0.980000s
1.260000s
0.700000s
0.460000s
