0.051309s
0.045247s
0.067497s
0.049311s
0.146497s
0.062796s
0.061969s
0.051627s
0.061965s
0.039334s
0.087446s
0.059002s
0.048879s
0.045102s
0.086313s
0.090847s
0.079807s
0.037359s
0.059121s
0.053391s
0.069122s
0.067081s
0.052610s
0.037392s
0.050963s
0.043986s
0.082555s
0.039116s
0.063961s
0.054056s
0.049272s
0.051304s
0.061333s
0.050133s
0.066730s
0.044322s
0.069370s
0.046712s
0.049142s
0.038104s
0.036378s
0.030935s
0.031241s
0.031914s
0.027052s
