0.044812s
0.081214s
0.065962s
0.069940s
0.051586s
0.038839s
0.045025s
0.037745s
0.046690s
0.064119s
0.040112s
0.045839s
0.054636s
0.077039s
0.064358s
0.045890s
0.040941s
0.038229s
0.051706s
0.032069s
0.034255s
0.036307s
0.049503s
0.035931s
0.055376s
0.028367s
0.067118s
0.044351s
0.027334s
0.036397s
0.057649s
0.046503s
0.043823s
0.043056s
0.055394s
0.040574s
0.049874s
0.023941s
0.031182s
0.029605s
0.033033s
0.023701s
0.026898s
0.033621s
0.023945s
0.035596s
0.035898s
0.047652s
0.027203s
0.034554s
